Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
GSICO-3DGS-low-rate,26.01476287841797,0.74652498960495,0.23724354803562164,37796778,3065860
GSICO-3DGS-high-rate,25.89130210876465,0.7391496300697327,0.24670420587062836,31922137,3065860
GSICO-Scaffold-low-rate,26.111953735351562,0.7441930770874023,0.2515469193458557,28940176,896560
GSICO-Scaffold-high-rate,25.810182571411133,0.7254095077514648,0.26211732625961304,26555935,896560
