Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
GSICO-3DGS-low-rate,24.701753616333008,0.7485441565513611,0.22194474935531616,36801705,3037700
GSICO-3DGS-high-rate,24.594274520874023,0.74223792552948,0.229988694190979,31103597,3037700
GSICO-Scaffold-low-rate,24.778583526611328,0.7385414242744446,0.23970527946949005,33196221,980992
GSICO-Scaffold-high-rate,24.469858169555664,0.7168276309967041,0.2494443655014038,30539001,980992
