Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
GSICO-3DGS-low-rate,22.48843002319336,0.6183587312698364,0.3497151732444763,29845975,2405380
GSICO-3DGS-high-rate,22.474533081054688,0.6137640476226807,0.35593798756599426,25133997,2405380
GSICO-Scaffold-low-rate,22.89472007751465,0.6273529529571533,0.33511900901794434,28765743,788992
GSICO-Scaffold-high-rate,22.784427642822266,0.6170778870582581,0.3405996561050415,26565307,788992
