Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
GSICO-3DGS-low-rate,21.54637336730957,0.7978562116622925,0.22751423716545105,10895112,876032
GSICO-3DGS-high-rate,21.487417221069336,0.7940253019332886,0.23166987299919128,9121795,876032
GSICO-Scaffold-low-rate,22.232406616210938,0.8160799145698547,0.21075673401355743,8845237,196608
GSICO-Scaffold-high-rate,22.14286231994629,0.8129805326461792,0.21398867666721344,7255858,196608
