Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
GSICO-3DGS-low-rate,29.23622703552246,0.902862548828125,0.15377098321914673,16028871,1216510
GSICO-3DGS-high-rate,29.020536422729492,0.898906946182251,0.15818041563034058,13134730,1216510
GSICO-Scaffold-low-rate,31.044504165649414,0.9211759567260742,0.13362936675548553,11897477,338432
GSICO-Scaffold-high-rate,30.908952713012695,0.9188197255134583,0.13571281731128693,10990629,338432
