Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
GSICO-3DGS-low-rate,30.644004821777344,0.899324357509613,0.23011067509651184,10451546,919552
GSICO-3DGS-high-rate,30.397035598754883,0.8938676714897156,0.23630855977535248,8864202,919552
GSICO-Scaffold-low-rate,31.59498405456543,0.9150972366333008,0.2187374085187912,9324523,278528
GSICO-Scaffold-high-rate,31.403636932373047,0.9102963209152222,0.22286777198314667,8554897,278528
