Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
GSICO-3DGS-low-rate,30.86447525024414,0.9294193387031555,0.2103492170572281,16146432,1380350
GSICO-3DGS-high-rate,30.444900512695312,0.9242295026779175,0.21598398685455322,13630041,1380350
GSICO-Scaffold-low-rate,32.03177261352539,0.9383496642112732,0.20970064401626587,13572804,411136
GSICO-Scaffold-high-rate,31.846210479736328,0.9361013174057007,0.21212238073349,12593701,411136
