Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
GSICO-3DGS-low-rate,25.449003219604492,0.8771376013755798,0.15124639868736267,19140971,1592320
GSICO-3DGS-high-rate,25.354747772216797,0.8732963800430298,0.15592148900032043,16100468,1592320
GSICO-Scaffold-low-rate,25.81797218322754,0.8822985887527466,0.14708615839481354,13359784,308736
GSICO-Scaffold-high-rate,25.735336303710938,0.8791397213935852,0.15053141117095947,10874965,308736
